index,Entity,Code,Year,cumulative_emissions_total,emissions_total,population,longitude,latitude
188,Colombia,COL,1951,95654300.0,8164442.0,12078813,-74.082,4.60987
345,Zimbabwe,ZWE,1951,100277864.0,3506294.0,2880901,31.0672,-17.8312
219,Lebanon,LBN,1951,4230321.0,1457057.0,1387575,35.5134,33.8872
218,Kuwait,KWT,1951,11105584.0,117248.0,158462,47.9824,29.3721
217,Jordan,JOR,1951,333424.0,161216.0,471160,35.9263,31.9497
216,Israel,ISR,1951,6179481.0,2918425.0,1351813,35.2035,31.7717
215,Iraq,IRQ,1951,133270080.0,2428935.0,5774132,44.394,33.3302
214,Indonesia,IDN,1951,592214000.0,9390416.0,70286313,106.83,-6.19752
213,India,IND,1951,2062756500.0,64022116.0,353870058,77.225,28.6353
212,Hungary,HUN,1951,795639500.0,22185350.0,9423178,19.0408,47.4984
211,Hong Kong,HKG,1951,3111903.0,1556903.0,2069492,114.109,22.3964
210,Honduras,HND,1951,1099307.0,348080.0,1601493,-87.4667,15.1333
209,Guinea,GIN,1951,334913.0,152514.0,3061981,-13.7,9.51667
208,Greenland,GRL,1951,197856.0,98928.0,23689,-51.7214,64.1836
207,Germany,DEU,1951,29767561000.0,576865540.0,69782050,13.4115,52.5235
206,Georgia,GEO,1951,47581416.0,2983914.0,3541240,44.793,41.71
205,Gambia,GMB,1951,29312.0,14656.0,314501,-16.5885,13.4495
204,France,FRA,1951,12112911000.0,228729010.0,42333662,2.35097,48.8566
235,Norway,NOR,1951,427675040.0,9475946.0,3295964,10.7387,59.9138
234,North Korea,PRK,1951,158669900.0,995984.0,10583576,125.754,39.0319
233,Nigeria,NGA,1951,33661170.0,1685440.0,37994083,7.48906,9.05804
232,New Zealand,NZL,1951,262623800.0,8170066.0,1951209,174.776,-41.2865
231,Netherlands,NLD,1951,1930218100.0,54968172.0,10264536,4.89095,52.3738
230,Myanmar,MMR,1951,47346148.0,915941.0,18070426,95.9562,21.914
229,Mozambique,MOZ,1951,2895445.0,930329.0,5978159,32.5713,-25.9664
228,Montenegro,MNE,1951,4412358.0,254671.98,410084,19.2595,42.4602
227,Mongolia,MNG,1951,578912.0,293120.0,794329,106.937,47.9129
226,Mexico,MEX,1951,1362708500.0,34889400.0,28320487,-99.1276,19.427
225,Malaysia,MYS,1951,74299560.0,5220367.0,6257415,101.684,3.12433
